CAV Percentage,ZOV Percent,Facility Type,Intervehicle Gap,Max Platoon,CAV Interplatoon Gap,Base Capacity,ADJ CAF
0,0,Freeway,0.71,10,2,2400,0.95
10,0,Freeway,0.71,10,2,2400,0.96
20,0,Freeway,0.71,10,2,2400,0.97
30,0,Freeway,0.71,10,2,2400,1
40,0,Freeway,0.71,10,2,2400,1.02
50,0,Freeway,0.71,10,2,2400,1.05
60,0,Freeway,0.71,10,2,2400,1.07
70,0,Freeway,0.71,10,2,2400,1.12
80,0,Freeway,0.71,10,2,2400,1.16
90,0,Freeway,0.71,10,2,2400,1.23
100,0,Freeway,0.71,10,2,2400,1.28
0,0,Freeway,0.71,10,2,2100,0.95
10,0,Freeway,0.71,10,2,2100,0.96
20,0,Freeway,0.71,10,2,2100,0.97
30,0,Freeway,0.71,10,2,2100,1.01
40,0,Freeway,0.71,10,2,2100,1.05
50,0,Freeway,0.71,10,2,2100,1.12
60,0,Freeway,0.71,10,2,2100,1.19
70,0,Freeway,0.71,10,2,2100,1.24
80,0,Freeway,0.71,10,2,2100,1.3
90,0,Freeway,0.71,10,2,2100,1.38
100,0,Freeway,0.71,10,2,2100,1.45
0,0,Freeway,0.71,10,2,1800,0.95
10,0,Freeway,0.71,10,2,1800,1.03
20,0,Freeway,0.71,10,2,1800,1.09
30,0,Freeway,0.71,10,2,1800,1.15
40,0,Freeway,0.71,10,2,1800,1.21
50,0,Freeway,0.71,10,2,1800,1.27
60,0,Freeway,0.71,10,2,1800,1.33
70,0,Freeway,0.71,10,2,1800,1.43
80,0,Freeway,0.71,10,2,1800,1.52
90,0,Freeway,0.71,10,2,1800,1.62
100,0,Freeway,0.71,10,2,1800,1.73
0,0,Diverge,0.71,10,2,2400,0.95
10,0,Diverge,0.71,10,2,2400,0.96
20,0,Diverge,0.71,10,2,2400,0.97
30,0,Diverge,0.71,10,2,2400,1
40,0,Diverge,0.71,10,2,2400,1.02
50,0,Diverge,0.71,10,2,2400,1.05
60,0,Diverge,0.71,10,2,2400,1.07
70,0,Diverge,0.71,10,2,2400,1.12
80,0,Diverge,0.71,10,2,2400,1.16
90,0,Diverge,0.71,10,2,2400,1.23
100,0,Diverge,0.71,10,2,2400,1.28
0,0,Diverge,0.71,10,2,2100,0.95
10,0,Diverge,0.71,10,2,2100,0.96
20,0,Diverge,0.71,10,2,2100,0.97
30,0,Diverge,0.71,10,2,2100,1.01
40,0,Diverge,0.71,10,2,2100,1.05
50,0,Diverge,0.71,10,2,2100,1.12
60,0,Diverge,0.71,10,2,2100,1.19
70,0,Diverge,0.71,10,2,2100,1.24
80,0,Diverge,0.71,10,2,2100,1.3
90,0,Diverge,0.71,10,2,2100,1.38
100,0,Diverge,0.71,10,2,2100,1.45
0,0,Diverge,0.71,10,2,1800,0.95
10,0,Diverge,0.71,10,2,1800,1.03
20,0,Diverge,0.71,10,2,1800,1.09
30,0,Diverge,0.71,10,2,1800,1.15
40,0,Diverge,0.71,10,2,1800,1.21
50,0,Diverge,0.71,10,2,1800,1.27
60,0,Diverge,0.71,10,2,1800,1.33
70,0,Diverge,0.71,10,2,1800,1.43
80,0,Diverge,0.71,10,2,1800,1.52
90,0,Diverge,0.71,10,2,1800,1.62
100,0,Diverge,0.71,10,2,1800,1.73
0,0,Merge,0.71,10,2,2200,0.95
10,0,Merge,0.71,10,2,2200,0.96
20,0,Merge,0.71,10,2,2200,0.97
30,0,Merge,0.71,10,2,2200,1
40,0,Merge,0.71,10,2,2200,1.02
50,0,Merge,0.71,10,2,2200,1.06
60,0,Merge,0.71,10,2,2200,1.1
70,0,Merge,0.71,10,2,2200,1.19
80,0,Merge,0.71,10,2,2200,1.26
90,0,Merge,0.71,10,2,2200,1.34
100,0,Merge,0.71,10,2,2200,1.42
0,10,Freeway,0.71,10,2,2400,0.95
10,10,Freeway,0.71,10,2,2400,0.96
20,10,Freeway,0.71,10,2,2400,0.97
30,10,Freeway,0.71,10,2,2400,1
40,10,Freeway,0.71,10,2,2400,1.02
50,10,Freeway,0.71,10,2,2400,1.05
60,10,Freeway,0.71,10,2,2400,1.07
70,10,Freeway,0.71,10,2,2400,1.12
80,10,Freeway,0.71,10,2,2400,1.16
90,10,Freeway,0.71,10,2,2400,1.23
100,10,Freeway,0.71,10,2,2400,1.28
0,10,Freeway,0.71,10,2,2100,0.95
10,10,Freeway,0.71,10,2,2100,0.96
20,10,Freeway,0.71,10,2,2100,0.97
30,10,Freeway,0.71,10,2,2100,1.01
40,10,Freeway,0.71,10,2,2100,1.05
50,10,Freeway,0.71,10,2,2100,1.12
60,10,Freeway,0.71,10,2,2100,1.19
70,10,Freeway,0.71,10,2,2100,1.24
80,10,Freeway,0.71,10,2,2100,1.3
90,10,Freeway,0.71,10,2,2100,1.38
100,10,Freeway,0.71,10,2,2100,1.45
0,10,Freeway,0.71,10,2,1800,0.95
10,10,Freeway,0.71,10,2,1800,1.03
20,10,Freeway,0.71,10,2,1800,1.09
30,10,Freeway,0.71,10,2,1800,1.15
40,10,Freeway,0.71,10,2,1800,1.21
50,10,Freeway,0.71,10,2,1800,1.27
60,10,Freeway,0.71,10,2,1800,1.33
70,10,Freeway,0.71,10,2,1800,1.43
80,10,Freeway,0.71,10,2,1800,1.52
90,10,Freeway,0.71,10,2,1800,1.62
100,10,Freeway,0.71,10,2,1800,1.73
0,10,Diverge,0.71,10,2,2400,0.95
10,10,Diverge,0.71,10,2,2400,0.96
20,10,Diverge,0.71,10,2,2400,0.97
30,10,Diverge,0.71,10,2,2400,1
40,10,Diverge,0.71,10,2,2400,1.02
50,10,Diverge,0.71,10,2,2400,1.05
60,10,Diverge,0.71,10,2,2400,1.07
70,10,Diverge,0.71,10,2,2400,1.12
80,10,Diverge,0.71,10,2,2400,1.16
90,10,Diverge,0.71,10,2,2400,1.23
100,10,Diverge,0.71,10,2,2400,1.28
0,10,Diverge,0.71,10,2,2100,0.95
10,10,Diverge,0.71,10,2,2100,0.96
20,10,Diverge,0.71,10,2,2100,0.97
30,10,Diverge,0.71,10,2,2100,1.01
40,10,Diverge,0.71,10,2,2100,1.05
50,10,Diverge,0.71,10,2,2100,1.12
60,10,Diverge,0.71,10,2,2100,1.19
70,10,Diverge,0.71,10,2,2100,1.24
80,10,Diverge,0.71,10,2,2100,1.3
90,10,Diverge,0.71,10,2,2100,1.38
100,10,Diverge,0.71,10,2,2100,1.45
0,10,Diverge,0.71,10,2,1800,0.95
10,10,Diverge,0.71,10,2,1800,1.03
20,10,Diverge,0.71,10,2,1800,1.09
30,10,Diverge,0.71,10,2,1800,1.15
40,10,Diverge,0.71,10,2,1800,1.21
50,10,Diverge,0.71,10,2,1800,1.27
60,10,Diverge,0.71,10,2,1800,1.33
70,10,Diverge,0.71,10,2,1800,1.43
80,10,Diverge,0.71,10,2,1800,1.52
90,10,Diverge,0.71,10,2,1800,1.62
100,10,Diverge,0.71,10,2,1800,1.73
0,10,Merge,0.71,10,2,2200,0.95
10,10,Merge,0.71,10,2,2200,0.96
20,10,Merge,0.71,10,2,2200,0.97
30,10,Merge,0.71,10,2,2200,1
40,10,Merge,0.71,10,2,2200,1.02
50,10,Merge,0.71,10,2,2200,1.06
60,10,Merge,0.71,10,2,2200,1.1
70,10,Merge,0.71,10,2,2200,1.19
80,10,Merge,0.71,10,2,2200,1.26
90,10,Merge,0.71,10,2,2200,1.34
100,10,Merge,0.71,10,2,2200,1.42
0,20,Freeway,0.71,10,2,2400,0.95
10,20,Freeway,0.71,10,2,2400,0.96
20,20,Freeway,0.71,10,2,2400,0.97
30,20,Freeway,0.71,10,2,2400,1
40,20,Freeway,0.71,10,2,2400,1.02
50,20,Freeway,0.71,10,2,2400,1.05
60,20,Freeway,0.71,10,2,2400,1.07
70,20,Freeway,0.71,10,2,2400,1.12
80,20,Freeway,0.71,10,2,2400,1.16
90,20,Freeway,0.71,10,2,2400,1.23
100,20,Freeway,0.71,10,2,2400,1.28
0,20,Freeway,0.71,10,2,2100,0.95
10,20,Freeway,0.71,10,2,2100,0.96
20,20,Freeway,0.71,10,2,2100,0.97
30,20,Freeway,0.71,10,2,2100,1.01
40,20,Freeway,0.71,10,2,2100,1.05
50,20,Freeway,0.71,10,2,2100,1.12
60,20,Freeway,0.71,10,2,2100,1.19
70,20,Freeway,0.71,10,2,2100,1.24
80,20,Freeway,0.71,10,2,2100,1.3
90,20,Freeway,0.71,10,2,2100,1.38
100,20,Freeway,0.71,10,2,2100,1.45
0,20,Freeway,0.71,10,2,1800,0.95
10,20,Freeway,0.71,10,2,1800,1.03
20,20,Freeway,0.71,10,2,1800,1.09
30,20,Freeway,0.71,10,2,1800,1.15
40,20,Freeway,0.71,10,2,1800,1.21
50,20,Freeway,0.71,10,2,1800,1.27
60,20,Freeway,0.71,10,2,1800,1.33
70,20,Freeway,0.71,10,2,1800,1.43
80,20,Freeway,0.71,10,2,1800,1.52
90,20,Freeway,0.71,10,2,1800,1.62
100,20,Freeway,0.71,10,2,1800,1.73
0,20,Diverge,0.71,10,2,2400,0.95
10,20,Diverge,0.71,10,2,2400,0.96
20,20,Diverge,0.71,10,2,2400,0.97
30,20,Diverge,0.71,10,2,2400,1
40,20,Diverge,0.71,10,2,2400,1.02
50,20,Diverge,0.71,10,2,2400,1.05
60,20,Diverge,0.71,10,2,2400,1.07
70,20,Diverge,0.71,10,2,2400,1.12
80,20,Diverge,0.71,10,2,2400,1.16
90,20,Diverge,0.71,10,2,2400,1.23
100,20,Diverge,0.71,10,2,2400,1.28
0,20,Diverge,0.71,10,2,2100,0.95
10,20,Diverge,0.71,10,2,2100,0.96
20,20,Diverge,0.71,10,2,2100,0.97
30,20,Diverge,0.71,10,2,2100,1.01
40,20,Diverge,0.71,10,2,2100,1.05
50,20,Diverge,0.71,10,2,2100,1.12
60,20,Diverge,0.71,10,2,2100,1.19
70,20,Diverge,0.71,10,2,2100,1.24
80,20,Diverge,0.71,10,2,2100,1.3
90,20,Diverge,0.71,10,2,2100,1.38
100,20,Diverge,0.71,10,2,2100,1.45
0,20,Diverge,0.71,10,2,1800,0.95
10,20,Diverge,0.71,10,2,1800,1.03
20,20,Diverge,0.71,10,2,1800,1.09
30,20,Diverge,0.71,10,2,1800,1.15
40,20,Diverge,0.71,10,2,1800,1.21
50,20,Diverge,0.71,10,2,1800,1.27
60,20,Diverge,0.71,10,2,1800,1.33
70,20,Diverge,0.71,10,2,1800,1.43
80,20,Diverge,0.71,10,2,1800,1.52
90,20,Diverge,0.71,10,2,1800,1.62
100,20,Diverge,0.71,10,2,1800,1.73
0,20,Merge,0.71,10,2,2200,0.95
10,20,Merge,0.71,10,2,2200,0.96
20,20,Merge,0.71,10,2,2200,0.97
30,20,Merge,0.71,10,2,2200,1
40,20,Merge,0.71,10,2,2200,1.02
50,20,Merge,0.71,10,2,2200,1.06
60,20,Merge,0.71,10,2,2200,1.1
70,20,Merge,0.71,10,2,2200,1.19
80,20,Merge,0.71,10,2,2200,1.26
90,20,Merge,0.71,10,2,2200,1.34
100,20,Merge,0.71,10,2,2200,1.42
0,30,Freeway,0.71,10,2,2400,0.95
10,30,Freeway,0.71,10,2,2400,0.96
20,30,Freeway,0.71,10,2,2400,0.97
30,30,Freeway,0.71,10,2,2400,1
40,30,Freeway,0.71,10,2,2400,1.02
50,30,Freeway,0.71,10,2,2400,1.05
60,30,Freeway,0.71,10,2,2400,1.07
70,30,Freeway,0.71,10,2,2400,1.12
80,30,Freeway,0.71,10,2,2400,1.16
90,30,Freeway,0.71,10,2,2400,1.23
100,30,Freeway,0.71,10,2,2400,1.28
0,30,Freeway,0.71,10,2,2100,0.95
10,30,Freeway,0.71,10,2,2100,0.96
20,30,Freeway,0.71,10,2,2100,0.97
30,30,Freeway,0.71,10,2,2100,1.01
40,30,Freeway,0.71,10,2,2100,1.05
50,30,Freeway,0.71,10,2,2100,1.12
60,30,Freeway,0.71,10,2,2100,1.19
70,30,Freeway,0.71,10,2,2100,1.24
80,30,Freeway,0.71,10,2,2100,1.3
90,30,Freeway,0.71,10,2,2100,1.38
100,30,Freeway,0.71,10,2,2100,1.45
0,30,Freeway,0.71,10,2,1800,0.95
10,30,Freeway,0.71,10,2,1800,1.03
20,30,Freeway,0.71,10,2,1800,1.09
30,30,Freeway,0.71,10,2,1800,1.15
40,30,Freeway,0.71,10,2,1800,1.21
50,30,Freeway,0.71,10,2,1800,1.27
60,30,Freeway,0.71,10,2,1800,1.33
70,30,Freeway,0.71,10,2,1800,1.43
80,30,Freeway,0.71,10,2,1800,1.52
90,30,Freeway,0.71,10,2,1800,1.62
100,30,Freeway,0.71,10,2,1800,1.73
0,30,Diverge,0.71,10,2,2400,0.95
10,30,Diverge,0.71,10,2,2400,0.96
20,30,Diverge,0.71,10,2,2400,0.97
30,30,Diverge,0.71,10,2,2400,1
40,30,Diverge,0.71,10,2,2400,1.02
50,30,Diverge,0.71,10,2,2400,1.05
60,30,Diverge,0.71,10,2,2400,1.07
70,30,Diverge,0.71,10,2,2400,1.12
80,30,Diverge,0.71,10,2,2400,1.16
90,30,Diverge,0.71,10,2,2400,1.23
100,30,Diverge,0.71,10,2,2400,1.28
0,30,Diverge,0.71,10,2,2100,0.95
10,30,Diverge,0.71,10,2,2100,0.96
20,30,Diverge,0.71,10,2,2100,0.97
30,30,Diverge,0.71,10,2,2100,1.01
40,30,Diverge,0.71,10,2,2100,1.05
50,30,Diverge,0.71,10,2,2100,1.12
60,30,Diverge,0.71,10,2,2100,1.19
70,30,Diverge,0.71,10,2,2100,1.24
80,30,Diverge,0.71,10,2,2100,1.3
90,30,Diverge,0.71,10,2,2100,1.38
100,30,Diverge,0.71,10,2,2100,1.45
0,30,Diverge,0.71,10,2,1800,0.95
10,30,Diverge,0.71,10,2,1800,1.03
20,30,Diverge,0.71,10,2,1800,1.09
30,30,Diverge,0.71,10,2,1800,1.15
40,30,Diverge,0.71,10,2,1800,1.21
50,30,Diverge,0.71,10,2,1800,1.27
60,30,Diverge,0.71,10,2,1800,1.33
70,30,Diverge,0.71,10,2,1800,1.43
80,30,Diverge,0.71,10,2,1800,1.52
90,30,Diverge,0.71,10,2,1800,1.62
100,30,Diverge,0.71,10,2,1800,1.73
0,30,Merge,0.71,10,2,2200,0.95
10,30,Merge,0.71,10,2,2200,0.96
20,30,Merge,0.71,10,2,2200,0.97
30,30,Merge,0.71,10,2,2200,1
40,30,Merge,0.71,10,2,2200,1.02
50,30,Merge,0.71,10,2,2200,1.06
60,30,Merge,0.71,10,2,2200,1.1
70,30,Merge,0.71,10,2,2200,1.19
80,30,Merge,0.71,10,2,2200,1.26
90,30,Merge,0.71,10,2,2200,1.34
100,30,Merge,0.71,10,2,2200,1.42
0,40,Freeway,0.71,10,2,2400,1.05
10,40,Freeway,0.71,10,2,2400,1.06
20,40,Freeway,0.71,10,2,2400,1.07
30,40,Freeway,0.71,10,2,2400,1.1
40,40,Freeway,0.71,10,2,2400,1.12
50,40,Freeway,0.71,10,2,2400,1.16
60,40,Freeway,0.71,10,2,2400,1.19
70,40,Freeway,0.71,10,2,2400,1.24
80,40,Freeway,0.71,10,2,2400,1.28
90,40,Freeway,0.71,10,2,2400,1.35
100,40,Freeway,0.71,10,2,2400,1.42
0,40,Freeway,0.71,10,2,2100,1.05
10,40,Freeway,0.71,10,2,2100,1.06
20,40,Freeway,0.71,10,2,2100,1.07
30,40,Freeway,0.71,10,2,2100,1.11
40,40,Freeway,0.71,10,2,2100,1.16
50,40,Freeway,0.71,10,2,2100,1.24
60,40,Freeway,0.71,10,2,2100,1.31
70,40,Freeway,0.71,10,2,2100,1.38
80,40,Freeway,0.71,10,2,2100,1.44
90,40,Freeway,0.71,10,2,2100,1.52
100,40,Freeway,0.71,10,2,2100,1.61
0,40,Freeway,0.71,10,2,1800,1.05
10,40,Freeway,0.71,10,2,1800,1.13
20,40,Freeway,0.71,10,2,1800,1.21
30,40,Freeway,0.71,10,2,1800,1.27
40,40,Freeway,0.71,10,2,1800,1.33
50,40,Freeway,0.71,10,2,1800,1.41
60,40,Freeway,0.71,10,2,1800,1.47
70,40,Freeway,0.71,10,2,1800,1.58
80,40,Freeway,0.71,10,2,1800,1.68
90,40,Freeway,0.71,10,2,1800,1.8
100,40,Freeway,0.71,10,2,1800,1.91
0,40,Diverge,0.71,10,2,2400,1.05
10,40,Diverge,0.71,10,2,2400,1.06
20,40,Diverge,0.71,10,2,2400,1.07
30,40,Diverge,0.71,10,2,2400,1.1
40,40,Diverge,0.71,10,2,2400,1.12
50,40,Diverge,0.71,10,2,2400,1.16
60,40,Diverge,0.71,10,2,2400,1.19
70,40,Diverge,0.71,10,2,2400,1.24
80,40,Diverge,0.71,10,2,2400,1.28
90,40,Diverge,0.71,10,2,2400,1.35
100,40,Diverge,0.71,10,2,2400,1.42
0,40,Diverge,0.71,10,2,2100,1.05
10,40,Diverge,0.71,10,2,2100,1.06
20,40,Diverge,0.71,10,2,2100,1.07
30,40,Diverge,0.71,10,2,2100,1.11
40,40,Diverge,0.71,10,2,2100,1.16
50,40,Diverge,0.71,10,2,2100,1.24
60,40,Diverge,0.71,10,2,2100,1.31
70,40,Diverge,0.71,10,2,2100,1.38
80,40,Diverge,0.71,10,2,2100,1.44
90,40,Diverge,0.71,10,2,2100,1.52
100,40,Diverge,0.71,10,2,2100,1.61
0,40,Diverge,0.71,10,2,1800,1.05
10,40,Diverge,0.71,10,2,1800,1.13
20,40,Diverge,0.71,10,2,1800,1.21
30,40,Diverge,0.71,10,2,1800,1.27
40,40,Diverge,0.71,10,2,1800,1.33
50,40,Diverge,0.71,10,2,1800,1.41
60,40,Diverge,0.71,10,2,1800,1.47
70,40,Diverge,0.71,10,2,1800,1.58
80,40,Diverge,0.71,10,2,1800,1.68
90,40,Diverge,0.71,10,2,1800,1.8
100,40,Diverge,0.71,10,2,1800,1.91
0,40,Merge,0.71,10,2,2200,1.05
10,40,Merge,0.71,10,2,2200,1.06
20,40,Merge,0.71,10,2,2200,1.07
30,40,Merge,0.71,10,2,2200,1.1
40,40,Merge,0.71,10,2,2200,1.12
50,40,Merge,0.71,10,2,2200,1.18
60,40,Merge,0.71,10,2,2200,1.22
70,40,Merge,0.71,10,2,2200,1.31
80,40,Merge,0.71,10,2,2200,1.4
90,40,Merge,0.71,10,2,2200,1.48
100,40,Merge,0.71,10,2,2200,1.56
0,50,Freeway,0.71,10,2,2400,1.05
10,50,Freeway,0.71,10,2,2400,1.06
20,50,Freeway,0.71,10,2,2400,1.07
30,50,Freeway,0.71,10,2,2400,1.1
40,50,Freeway,0.71,10,2,2400,1.12
50,50,Freeway,0.71,10,2,2400,1.16
60,50,Freeway,0.71,10,2,2400,1.19
70,50,Freeway,0.71,10,2,2400,1.24
80,50,Freeway,0.71,10,2,2400,1.28
90,50,Freeway,0.71,10,2,2400,1.35
100,50,Freeway,0.71,10,2,2400,1.42
0,50,Freeway,0.71,10,2,2100,1.05
10,50,Freeway,0.71,10,2,2100,1.06
20,50,Freeway,0.71,10,2,2100,1.07
30,50,Freeway,0.71,10,2,2100,1.11
40,50,Freeway,0.71,10,2,2100,1.16
50,50,Freeway,0.71,10,2,2100,1.24
60,50,Freeway,0.71,10,2,2100,1.31
70,50,Freeway,0.71,10,2,2100,1.38
80,50,Freeway,0.71,10,2,2100,1.44
90,50,Freeway,0.71,10,2,2100,1.52
100,50,Freeway,0.71,10,2,2100,1.61
0,50,Freeway,0.71,10,2,1800,1.05
10,50,Freeway,0.71,10,2,1800,1.13
20,50,Freeway,0.71,10,2,1800,1.21
30,50,Freeway,0.71,10,2,1800,1.27
40,50,Freeway,0.71,10,2,1800,1.33
50,50,Freeway,0.71,10,2,1800,1.41
60,50,Freeway,0.71,10,2,1800,1.47
70,50,Freeway,0.71,10,2,1800,1.58
80,50,Freeway,0.71,10,2,1800,1.68
90,50,Freeway,0.71,10,2,1800,1.8
100,50,Freeway,0.71,10,2,1800,1.91
0,50,Diverge,0.71,10,2,2400,1.05
10,50,Diverge,0.71,10,2,2400,1.06
20,50,Diverge,0.71,10,2,2400,1.07
30,50,Diverge,0.71,10,2,2400,1.1
40,50,Diverge,0.71,10,2,2400,1.12
50,50,Diverge,0.71,10,2,2400,1.16
